,t1_shape,t2_shape,t1ce_shape,flair_shape,mask_shape
1,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
2,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
3,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
4,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
5,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
6,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
7,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
8,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
9,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
10,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
11,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
12,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
13,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
14,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
15,"((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))","((240, 155), (1.0, 1.0, 1.0))"
